set_number,term,definition
1,disiapkan,prepared
1,kebersamaan,togetherness
1,ziarah,grave visit
1,sebaik-baiknya,as well as possible
1,dibuka,opened
1,ditingkatkan,increased
1,perhatian,attention/care
1,permintaan,demand
1,perayaan,celebration
1,dirayakan,celebrated
2,ditutup,closed
2,ziarah,grave visit
2,perayaan,celebration
2,tanda hormat,sign of respect
2,dibuka,opened
2,mengunjungi,to visit
2,permintaan,demand
2,seenak-enaknya,as delicious as possible
2,gorden,curtain
2,dirayakan,celebrated
3,dibuka,opened
3,sebesar-besarnya,as big/great as possible
3,tersedia,available
3,sebaik-baiknya,as well as possible
3,ziarah,grave visit
3,perjalanan,journey
3,dirayakan,celebrated
3,dilakukan,done/carried out
3,gorden,curtain
3,perhatian,attention/care
4,tanda hormat,sign of respect
4,dilakukan,done/carried out
4,kebersamaan,togetherness
4,perayaan,celebration
4,dipesan,booked
4,mudik,return to hometown
4,diucapkan,said/expressed
4,tersedia,available
4,sebaik-baiknya,as well as possible
4,ditutup,closed
5,permintaan,demand
5,sebesar-besarnya,as big/great as possible
5,seenak-enaknya,as delicious as possible
5,kebersamaan,togetherness
5,dipesan,booked
5,perayaan,celebration
5,mudik,return to hometown
5,meminta maaf,ask forgiveness
5,diucapkan,said/expressed
5,tanda hormat,sign of respect
6,mudik,return to hometown
6,perayaan,celebration
6,ditutup,closed
6,gorden,curtain
6,dibuka,opened
6,meminta maaf,ask forgiveness
6,permintaan,demand
6,disiapkan,prepared
6,kebersamaan,togetherness
6,dipesan,booked
